title,count,canonicalId,canonicalTitle,slug,lookupPath,videoLookupPath,videoUrl,anatomyStatus,muscleLabel,anatomyImage,primaryMuscle,movementPattern,bestCandidateTitle,bestCandidateScore,suggestedAlias,issues
21,25,didactic_141,21,21,exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/21.mp4,alias_used,бицепс,/muscle-templates/manual/upper_biceps_needs_review.jpg,бицепс,сгибание локтя,,,,
Армейский жим,15,didactic_056,Армейский жим,армейский-жим,exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B0%D1%80%D0%BC%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC.mp4,alias_used,передняя дельта,/muscle-templates/manual/upper_front_delt.png,передняя дельта,Вертикальный жим,,,,
Бабочка на большие грудные,363,didactic_048,Бабочка на большие грудные мышцы,бабочка-на-большие-грудные-мышцы,alias_exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0-%D0%BD%D0%B0-%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D0%B5-%D0%B3%D1%80%D1%83%D0%B4%D0%BD%D1%8B%D0%B5-%D0%BC%D1%8B%D1%88%D1%86%D1%8B.mp4,ok,Большие грудные,/muscle-templates/manual/upper_chest.jpg,Большие грудные,Растяжка,,,,
Бабочка на большие грудные 10 раз,4,didactic_048,Бабочка на большие грудные мышцы,бабочка-на-большие-грудные-мышцы,alias_exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0-%D0%BD%D0%B0-%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D0%B5-%D0%B3%D1%80%D1%83%D0%B4%D0%BD%D1%8B%D0%B5-%D0%BC%D1%8B%D1%88%D1%86%D1%8B.mp4,ok,Большие грудные,/muscle-templates/manual/upper_chest.jpg,Большие грудные,Растяжка,,,,
Бабочка на заднюю дельту,137,didactic_055,Бабочка на заднюю дельту в кроссовере,бабочка-на-заднюю-дельту-в-кроссовере,contains,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0-%D0%BD%D0%B0-%D0%B7%D0%B0%D0%B4%D0%BD%D1%8E%D1%8E-%D0%B4%D0%B5%D0%BB%D1%8C%D1%82%D1%83-%D0%B2-%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%B5%D1%80%D0%B5.mp4,alias_used,задняя дельта,/muscle-templates/manual/upper_rear_delt.png,задняя дельта,Горизонтальное отведение,,,,
Бицепс с гантелью на скамье скотта,2,didactic_140,Бицепс с гантелью на скамье скотта,бицепс-с-гантелью-на-скамье-скотта,exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8C%D1%8E-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5-%D1%81%D0%BA%D0%BE%D1%82%D1%82%D0%B0.mp4,alias_used,бицепс,/muscle-templates/manual/upper_biceps_needs_review.jpg,бицепс,сгибание локтя,,,,
Бицепс с гантелью на скамье Скотта,54,didactic_140,Бицепс с гантелью на скамье скотта,бицепс-с-гантелью-на-скамье-скотта,exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8C%D1%8E-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5-%D1%81%D0%BA%D0%BE%D1%82%D1%82%D0%B0.mp4,alias_used,бицепс,/muscle-templates/manual/upper_biceps_needs_review.jpg,бицепс,сгибание локтя,,,,
Бицепс с двумя гантелями на скамье Скотта,15,didactic_139,Бицепс с двумя гантелями на скамье скотта,бицепс-с-двумя-гантелями-на-скамье-скотта,exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D0%B4%D0%B2%D1%83%D0%BC%D1%8F-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5-%D1%81%D0%BA%D0%BE%D1%82%D1%82%D0%B0.mp4,alias_used,бицепс,/muscle-templates/manual/upper_biceps_needs_review.jpg,бицепс,сгибание локтя,,,,
Бицепс с канатной рукояткой в кроссовере,135,didactic_151,Бицепс с канатной рукояткой в кроссовере,бицепс-с-канатной-рукояткой-в-кроссовере,exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D0%BA%D0%B0%D0%BD%D0%B0%D1%82%D0%BD%D0%BE%D0%B9-%D1%80%D1%83%D0%BA%D0%BE%D1%8F%D1%82%D0%BA%D0%BE%D0%B9-%D0%B2-%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%B5%D1%80%D0%B5.mp4,alias_used,бицепс,/muscle-templates/manual/upper_biceps_needs_review.jpg,бицепс,сгибание локтя,,,,
Бицепс со штангой на скамье скотта,4,didactic_142,Бицепс со штангой в скамье скотта,бицепс-со-штангой-в-скамье-скотта,alias_exact_key,normalizedExercise.video_url,https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81%D0%BE-%D1%88%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D0%B9-%D0%B2-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5-%D1%81%D0%BA%D0%BE%D1%82%D1%82%D0%B0.mp4,alias_used,бицепс,/muscle-templates/manual/upper_biceps_needs_review.jpg,бицепс,сгибание локтя,,,,
