replacement_group_id;movement_vector;muscle_group;exercise_type;gender;exercise_count;exercises
didactic_group_055;сгибание локтя;бицепс;изоляция;all;25;"Бицепс с двумя гантелями на скамье скотта | Бицепс с гантелью на скамье скотта | 21 | Бицепс со штангой в скамье скотта | Подъем на бицепс с резинкой сидя | Сгибание Зотмана | Подъем на бицепс в тренажёре для гребной тяги | Подъем на бицепс спиной к кроссоверу | Молотковые сгибание на бицепс с канатной рукояткой в кроссовере | Подъем на бицепс обратным хватом | Классический подъем на бицепс в кроссовере | Бицепс по 1 руке в кроссовере | Бицепс с канатной рукояткой в кроссовере | Изодинамиеский подъем на бицепс | Попеременный подъем на бицепс | Подъем на бицепс с упором в скамью | Паучьи сгибания молотковым хватом | Паучьи сгибания | Концентрированный подъем на бицепс | Подъем на бицепс на наклонной скамье под 45* | Молотки, подъем на бицепс | Подъем EZ-штанги (кривой штанги) на бицепс | Сгибание рук с гантелями сидя | Подъем на бицепс гантелей стоя | Подъем на бицепс широким хватом"
didactic_group_056;разгибание локтя;трицепс;изоляция;all;24;Жим узким хватом в смитте | Французский жим в смитте | Калифорнийский жим в смитте | Разгибание на трицепс по одной руке в кроссовере | Разгибание на трицепс в кроссовере с канатной рукояткой | Тяга из-за головы в кроссовере на трицепс | Трицепс в кроссовере обратным хватом | Разгибание на трицепс в кроссовере | Трицепс в тренажере | Отжимания на брусьях в гравитроне | Французский жим стоя | Отжимания на брусьях | Французский жим гантели стоя | Отжимания с гантелей на трицепс | Отжимания узким хватом | Жим гирей с пола | Жим с пола узким хватом | Разгибание на трицепс в наклоне | G-жим | Жим штанги узким хватом | Французский жим с гантелями | Обратные отжимания | Разгибание на трицепс из-за головы | Французский жим лежа
didactic_group_049;стабилизация;кор;изоляция;all;8;Планка на фитболе под ногами | Планка с перестановкой ног и рук | Планка с перестановкой рук | Планка на фитболе под руками | Планка на босу | Планка на босу под ногами | Классическая планка | Планка с перестановкой ног
didactic_group_001;вертикальная тяга;широчайшие;изоляция;all;7;Вертикальная тяга узким хватом | Вертикальная тяга обратным хватом | Вертикальная тяга одной рукой | Вертикальная тяга | Пуловер с гантелей | Пуловер со штангой | Пуловер в кроссовере
didactic_group_038;приседание;квадрицепс;база;all;7;Приседания в смите | Фронтальные приседания | Гак присед | Обратный Гак присед | Приседание в кроссовере | Приседания со штангой | Приседания с паузой
didactic_group_015;жим;большие грудные;база;all;6;Жим в смитте | Жим в хаммере на низ груди | Сведение рук в кроссовере на горизонтальной скамье | Жим гантелей лёжа | Отжимания в тренажёре смитта | Классические отжимания
didactic_group_025;отведение плеча;средняя дельта;изоляция;all;6;"Махи на плечи в кроссовере, тросс сзади | Изодинамические махи гантелями сидя | Изодинамические махи гантелями | Дуговые махи гантелями | Дуговые махи гантелями стоя | Махи гантелями стоя"
didactic_group_031;разгибание таза;ягодицы;изоляция;all;6;Ягодичный мост в смитте | Ягодичный мост со штангой | Ягодицы с канатом в кроссовере | Ягодицы в тренажере | Ягодичный мост на полу | Ягодичный мост в тренажере
didactic_group_021;горизонтальное отведение;задняя дельта;изоляция;all;5;"Бабочка на заднюю дельту в кроссовере | Тяга ""Арбалет"" на заднюю дельту | Задняя дельта в кроссовере стоя | Махи на заднюю дельту на 30* скамье | Махи дерижер на заднюю дельту"
didactic_group_030;выпад;ягодицы;база;all;5;Выпады с гантелями | Выпады в кроссовере | Выпады в смитте | Выпады со штангой на ягодицы | Болгарский присед
didactic_group_051;скручивание;прямая мышца живота;изоляция;all;5;Скручивания на скамье для пресса | Прямые скручивания с мячом | Пресс на босу | Скрепка на пресс | Скручивания на полу на пресс
didactic_group_004;горизонтальная тяга;трапеция;изоляция;all;4;Горизонтальная тяга | Горизонтальная тяга широким хватом | Т-тяга со штангой | Т-тяга в тренажёре
didactic_group_022;вертикальный жим;передняя дельта;база;all;4;Армейский жим | Жим на плечи под 60* в смитте | Жим Арнольда | Жим гантелей сидя
didactic_group_034;сгибание колена;бицепс бедра;изоляция;all;4;Сгибание ног сидя | Си-си присед на бицепс бедра в смите | Сгибание лежа по 1 ноге | Сгибание ног лёжа
didactic_group_037;жим ногами;квадрицепс;изоляция;all;4;Жим платформы по 1 ноге | Жим ногами | Жим ногами с параллельной постановкой ног | Жим ногами с широкой постановкой ног
didactic_group_002;вертикальная тяга;широчайшие;база;male;3;Подтягивания обратным хватом | Подтягивания параллельным хватом | Подтягивания широким хватом
didactic_group_003;вертикальная тяга;широчайшие;база;all;3;Подтягивания в гравитроне обратным хватом | Подтягивания в гравитроне параллельным хватом | Подтягивания в гравитроне широким хватом
didactic_group_007;горизонтальная тяга;широчайшие;изоляция;all;3;Тяга гирь к поясу | Тяга к поясу в кроссовере | Тяга гантели к поясу
didactic_group_009;разгибание таза;низ спины;база;all;3;Становая тяга сумо | Становая тяга | Румынская тяга
didactic_group_010;разгибание таза;низ спины;изоляция;all;3;Тяга из ямы | Тяга со стоек | Тяга до колена
didactic_group_014;растяжка;большие грудные;изоляция;all;3;Сведение рук в кроссовере | Дуговая разводка | Бабочка на большие грудные мышцы
didactic_group_017;растяжка;верх груди;изоляция;all;3;Сведение рук в кроссовере на 30-градусной скамье | Гильотина | Раводка под 15*
didactic_group_019;жим;верх груди;база;all;3;Жим штанги под углом | Жим гантелей на 30* скамье | Жим в хаммере на верх груди
didactic_group_053;скручивание;косые мышцы живота;изоляция;all;3;Косые скручивания с мячом | Касание пяток на пресс | Велосипедные скручивания на пресс
didactic_group_005;горизонтальная тяга;трапеция / широчайшие;изоляция;all;2;Гибридная тяга | Рычажная тяга
didactic_group_012;сагиттальная плоскость;лфк;лфк;all;2;Вытяжка в гиперэкстензии | Горизонтальная вытяжка в кроссовере
didactic_group_016;жим;верх груди;изоляция;all;2;Изодинамический жим гантелей на 30* скамье | Суперсет на верх груди в смитте
didactic_group_018;жим;большие грудные;изоляция;all;2;Классический жим от груди в тренажёре | Жим Свенда в кроссовере
didactic_group_020;жим;большие грудные;база;male;2;Жим штанги лёжа | Жим с паузой
didactic_group_028;подъем плеча перед собой;передняя дельта;изоляция;all;2;Фронтальные махи со штангой стоя | Фронтальные махи с гантелями
didactic_group_033;приседание;квадрицепс;изоляция;all;2;Си-си присед с собственным весом | Си-си приседания на переднюю поверхность бедра
didactic_group_040;плиометрическое приседание;квадрицепс;база;all;2;Плеометрический ГАК | Выпрыгивания с места
