key;file_name;decoded_name;normalized_name;size;url
exercises/21.mp4;21.mp4;21;;15403048;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/21.mp4
exercises/антиротационные-выпады-с-эспандером.mp4;антиротационные-выпады-с-эспандером.mp4;антиротационные-выпады-с-эспандером;антиротационные выпады с эспандером;20779252;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B0%D0%BD%D1%82%D0%B8%D1%80%D0%BE%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5-%D0%B2%D1%8B%D0%BF%D0%B0%D0%B4%D1%8B-%D1%81-%D1%8D%D1%81%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D1%80%D0%BE%D0%BC.mp4
exercises/антиротация-на-пресс.mp4;антиротация-на-пресс.mp4;антиротация-на-пресс;антиротация на пресс;20104985;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B0%D0%BD%D1%82%D0%B8%D1%80%D0%BE%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%BF%D1%80%D0%B5%D1%81%D1%81.mp4
exercises/армейский-жим.mp4;армейский-жим.mp4;армейский-жим;армейский жим;20081566;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B0%D1%80%D0%BC%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9-%D0%B6%D0%B8%D0%BC.mp4
exercises/бабочка-на-большие-грудные-мышцы.mp4;бабочка-на-большие-грудные-мышцы.mp4;бабочка-на-большие-грудные-мышцы;бабочка на большие грудные мышцы;21130958;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0-%D0%BD%D0%B0-%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D0%B5-%D0%B3%D1%80%D1%83%D0%B4%D0%BD%D1%8B%D0%B5-%D0%BC%D1%8B%D1%88%D1%86%D1%8B.mp4
exercises/бабочка-на-заднюю-дельту-в-кроссовере.mp4;бабочка-на-заднюю-дельту-в-кроссовере.mp4;бабочка-на-заднюю-дельту-в-кроссовере;бабочка на заднюю дельту в кроссовере;10494731;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0-%D0%BD%D0%B0-%D0%B7%D0%B0%D0%B4%D0%BD%D1%8E%D1%8E-%D0%B4%D0%B5%D0%BB%D1%8C%D1%82%D1%83-%D0%B2-%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%B5%D1%80%D0%B5.mp4
exercises/бицепс-по-1-руке-в-кроссовере.mp4;бицепс-по-1-руке-в-кроссовере.mp4;бицепс-по-1-руке-в-кроссовере;бицепс по 1 руке в кроссовере;19800933;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D0%BF%D0%BE-1-%D1%80%D1%83%D0%BA%D0%B5-%D0%B2-%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%B5%D1%80%D0%B5.mp4
exercises/бицепс-с-гантелью-на-скамье-скотта.mp4;бицепс-с-гантелью-на-скамье-скотта.mp4;бицепс-с-гантелью-на-скамье-скотта;бицепс с гантелью на скамье скотта;9602337;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8C%D1%8E-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5-%D1%81%D0%BA%D0%BE%D1%82%D1%82%D0%B0.mp4
exercises/бицепс-с-двумя-гантелями-на-скамье-скотта.mp4;бицепс-с-двумя-гантелями-на-скамье-скотта.mp4;бицепс-с-двумя-гантелями-на-скамье-скотта;бицепс с двумя гантелями на скамье скотта;11277265;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D0%B4%D0%B2%D1%83%D0%BC%D1%8F-%D0%B3%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D1%8F%D0%BC%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BA%D0%B0%D0%BC%D1%8C%D0%B5-%D1%81%D0%BA%D0%BE%D1%82%D1%82%D0%B0.mp4
exercises/бицепс-с-канатной-рукояткой-в-кроссовере.mp4;бицепс-с-канатной-рукояткой-в-кроссовере.mp4;бицепс-с-канатной-рукояткой-в-кроссовере;бицепс с канатной рукояткой в кроссовере;13020537;https://ac22cf36-390e-4f3a-b58f-98eb399f6f3b.selstorage.ru/exercises/%D0%B1%D0%B8%D1%86%D0%B5%D0%BF%D1%81-%D1%81-%D0%BA%D0%B0%D0%BD%D0%B0%D1%82%D0%BD%D0%BE%D0%B9-%D1%80%D1%83%D0%BA%D0%BE%D1%8F%D1%82%D0%BA%D0%BE%D0%B9-%D0%B2-%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%B5%D1%80%D0%B5.mp4
