Название в программе;Нормализованное название в программе;Найденное совпадение в exercise DB;DB id;Confidence score;Статус;Причина;Предлагаемый alias;Встречается в программах;Кол-во course_id;Кол-во lesson_id;Muscle group DB;Pattern DB;Target zone DB;DB has video;Второй кандидат;Score второго кандидата;Пример raw/comment
Растяжка на все тело;растяжка на все тело;;;0.078;no_match;Нет кандидата с достаточной похожестью.;;2473;149;2472;;;;;"Скрепка на пресс, техника выполнения упражнения";0.077;Упражнение 7: Растяжка на все тело 1 подходов | Упражнение 7: Растяжка на все тело 1 подходов | Упражнение 7: Растяжка на все тело 1 подходов
Разводка под 15*;разводка под 15;;;0.556;no_match;Нет кандидата с достаточной похожестью.;;533;118;533;;;;;"Дуговая разводка, техника выполнения упражнения";0.392;Упражнение 2: Разводка под 15* 4 подходов x 10 раз | Упражнение 2: Разводка под 15* 4 подходов x 10 раз | Упражнение 2: Разводка под 15* 4 подходов x 10 раз
Присед плие;присед плие;;;0.416;no_match;Нет кандидата с достаточной похожестью.;;45;20;45;;;;;"Присед с точкой опоры, техника выполнения упражнения";0.415;Упражнение 3: Присед плие 4 подходов x 10 раз | Упражнение 3: Присед плие 4 подходов x 10 раз | Упражнение 2: Присед плие 4 подходов x 10 раз
Выпады в смите;выпады в смите;;;0.556;no_match;Нет кандидата с достаточной похожестью.;;33;19;33;;;;;"Выпады в кроссовере, техника выполнения упражнения";0.478;Упражнение 3: Выпады в смите 4 подходов x 12 раз | Упражнение 3: Выпады в смите 4 подходов x 12 раз | Упражнение 3: Выпады в смите 4 подходов x 12 раз
Сведение на ягодицы;сведение на ягодицы;;;0.434;no_match;Нет кандидата с достаточной похожестью.;;5;3;5;;;;;"Жим платформы на ягодицы, техника выполнения упражнения";0.432;Упражнение 6: Сведение на ягодицы 4 подходов x 20 раз | Упражнение 6: Сведение на ягодицы 4 подходов x 20 раз | Упражнение 6: Сведение на ягодицы 4 подходов x 20 раз
Бабочка на большие грудные 10 раз;бабочка на большие грудные 10 раз;;;0.625;no_match;Нет кандидата с достаточной похожестью.;;4;2;4;;;;;"Бабочка на заднюю дельту в кроссовере, техника выполнения упражнения";0.216;Упражнение 2: Бабочка на большие грудные 10 раз | Упражнение 2: Бабочка на большие грудные 10 раз | Упражнение 2: Бабочка на большие грудные 10 раз
Жим в свенда в кроссовере 10 раз;жим в свенда в кроссовере 10 раз;;;0.626;no_match;Нет кандидата с достаточной похожестью.;;3;2;3;;;;;"Выпады в кроссовере, техника выполнения упражнения";0.251;Упражнение 3: Жим в свенда в кроссовере 10 раз | Упражнение 3: Жим в свенда в кроссовере 10 раз | Упражнение 3: Жим в свенда в кроссовере 10 раз
Классические выпады.;классические выпады;;;0.491;no_match;Нет кандидата с достаточной похожестью.;;2;1;2;;;;;Антиротационные выпады с эспандером. Техника выполнения упражнения;0.388;Упражнение 5: Классические выпады. 4 подходов x 8 раз | Упражнение 5: Классические выпады. 4 подходов x 8 раз
Присед с паузой;присед с паузой;;;0.525;no_match;Нет кандидата с достаточной похожестью.;;2;1;2;;;;;"Жим с паузой, техника выполнения упражнения";0.498;Упражнение 2: Присед с паузой 4 подходов x 6 раз | Упражнение 2: Присед с паузой 4 подходов x 6 раз
Подъемы ног;подъемы ног;"Подъемы ног на пресс, техника выполнения упражнения";table_109;0.92;ambiguous_match;"Несколько близких кандидатов: Подъемы ног на пресс, техника выполнения упражнения / Подъемы ног на скамье для пресса, техника выполнения упражнения.";"Подъемы ног на пресс, техника выполнения упражнения";341;122;341;пресс;подъем ног;Нижний пресс;true;"Подъемы ног на скамье для пресса, техника выполнения упражнения";0.92;Упражнение 7: Подъемы ног 4 подходов x 10 раз | Упражнение 7: Подъемы ног 4 подходов x 10 раз | Упражнение 4: Подъемы ног 4 подходов x 10 раз
Фронтальные приседания со штангой;фронтальные приседания со штангой;"Приседания со штангой, техника выполнения упражнений";table_144;0.88;ambiguous_match;"Несколько близких кандидатов: Приседания со штангой, техника выполнения упражнений / Фронтальные приседания, техника выполнения упражнения.";"Приседания со штангой, техника выполнения упражнений";291;110;291;ноги;приседание;Квадрицепс / ягодицы;true;"Фронтальные приседания, техника выполнения упражнения";0.88;Упражнение 1: Фронтальные приседания со штангой 4 подходов x 12 раз | Упражнение 1: Фронтальные приседания со штангой 4 подходов x 12 раз | Упражнение 4: Фронтальные приседания со штангой 4 подходов x 8 раз
Дуговые махи;дуговые махи;"Дуговые махи гантелями стоя, техника выполнения упражнения";table_188;0.92;ambiguous_match;"Несколько близких кандидатов: Дуговые махи гантелями стоя, техника выполнения упражнения / Дуговые махи гантелями, техника выполнения упражнения.";"Дуговые махи гантелями стоя, техника выполнения упражнения";101;42;101;плечи;отведение плеча;Средняя дельта;true;"Дуговые махи гантелями, техника выполнения упражнения";0.92;Упражнение 4: Дуговые махи 4 подходов x 10 раз | Упражнение 4: Дуговые махи 4 подходов x 10 раз | Упражнение 4: Дуговые махи 4 подходов x 10 раз
Жим узким хватом;жим узким хватом;"Жим узким хватом в смитте, техника выполнения упражнения";table_129;0.92;ambiguous_match;"Несколько близких кандидатов: Жим узким хватом в смитте, техника выполнения упражнения / Жим с пола узким хватом, техника выполнения упражнения.";"Жим узким хватом в смитте, техника выполнения упражнения";69;42;69;трицепс;горизонтальный жим;Трицепс / грудь;true;"Жим с пола узким хватом, техника выполнения упражнения";0.875;Упражнение 4: Жим узким хватом 4 подходов x 8 раз | Упражнение 4: Жим узким хватом 4 подходов x 8 раз | Упражнение 4: Жим узким хватом 4 подходов x 8 раз
Планка на фитболе;планка на фитболе;"Планка на фитболе под ногами, техника выполнения упражнения";table_084;0.92;ambiguous_match;"Несколько близких кандидатов: Планка на фитболе под ногами, техника выполнения упражнения / Планка на фитболе под руками, техника выполнения упражнения.";"Планка на фитболе под ногами, техника выполнения упражнения";52;29;52;пресс;стабилизация;Кор;true;"Планка на фитболе под руками, техника выполнения упражнения";0.92;Упражнение 6: Планка на фитболе 4 подходов x 30 сек | Упражнение 6: Планка на фитболе 4 подходов x 1 мин | Упражнение 4: Планка на фитболе 4 подходов x 1 мин
Изодинамические махи;изодинамические махи;"Изодинамические махи гантелями сидя, техника выполнения упражнения";table_063;0.92;ambiguous_match;"Несколько близких кандидатов: Изодинамические махи гантелями сидя, техника выполнения упражнения / Изодинамические махи гантелями, техника выполнения упражнения.";"Изодинамические махи гантелями сидя, техника выполнения упражнения";51;32;51;плечи;отведение плеча;Средняя дельта;true;"Изодинамические махи гантелями, техника выполнения упражнения";0.92;Упражнение 5: Изодинамические махи 4 подходов x 10 раз | Упражнение 5: Изодинамические махи 4 подходов x 10 раз | Упражнение 5: Изодинамические махи 4 подходов x 10 раз
Сведение рук в кроссовере на 30* скамье;сведение рук в кроссовере на 30 скамье;"Сведение рук в кроссовере на 30-градусной скамье, техника выполнения упражнения";table_019;0.915;ambiguous_match;"Несколько близких кандидатов: Сведение рук в кроссовере на 30-градусной скамье, техника выполнения упражнения / Сведение рук в кроссовере, техника выполнения упражнения.";"Сведение рук в кроссовере на 30-градусной скамье, техника выполнения упражнения";45;28;45;грудь;сведение рук;Верх груди;true;"Сведение рук в кроссовере, техника выполнения упражнения";0.88;Упражнение 2: Сведение рук в кроссовере на 30* скамье 4 подходов x 15 раз | Упражнение 2: Сведение рук в кроссовере на 30* скамье 4 подходов x 15 раз | Упражнение 2: Сведение рук в кроссовере на 30* скамье 4 подходов x 15 раз
Плеометрический гак присед;плеометрический гак присед;"Гак присед, техника выполнения упражнения";table_040;0.88;ambiguous_match;"Несколько близких кандидатов: Гак присед, техника выполнения упражнения / Плеометрический ГАК, техника выполнения упражнения.";"Гак присед, техника выполнения упражнения";17;10;17;ноги;приседание;Квадрицепс;true;"Плеометрический ГАК, техника выполнения упражнения";0.88;Упражнение 5: Плеометрический гак присед 4 подходов x 12 раз | Упражнение 1: Плеометрический гак присед 4 подходов x 10 раз | Упражнение 1: Плеометрический гак присед 4 подходов x 10 раз
Махи гантелями;махи гантелями;"Дуговые махи гантелями стоя, техника выполнения упражнения";table_188;0.92;ambiguous_match;"Несколько близких кандидатов: Дуговые махи гантелями стоя, техника выполнения упражнения / Дуговые махи гантелями, техника выполнения упражнения.";"Дуговые махи гантелями стоя, техника выполнения упражнения";14;7;14;плечи;отведение плеча;Средняя дельта;true;"Дуговые махи гантелями, техника выполнения упражнения";0.92;Упражнение 4: Махи гантелями 4 подходов x 10 раз | Упражнение 4: Махи гантелями 4 подходов x 10 раз | Упражнение 4: Махи гантелями 4 подходов x 10 раз
Жим гантелей лёжа на скамье 30*;жим гантелей лежа на скамье 30;"Жим гантелей лёжа, техника выполнения упражнения";table_047;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Жим гантелей лёжа, техника выполнения упражнения";464;116;464;грудь;горизонтальный жим;Средняя грудь;true;"Жим гантелей на 30* скамье, техника выполнения упражнения";0.785;Упражнение 1: Жим гантелей лёжа на скамье 30* 4 подходов x 12 раз | Упражнение 2: Жим гантелей лёжа на скамье 30* 4 подходов x 8 раз | Упражнение 2: Жим гантелей лёжа на скамье 30* 4 подходов x 12 раз
Комплекс ЛФК упражнений на плечи;комплекс лфк упражнений на плечи;"Комлпекс ЛФК упражнений на плечи, техника выполнения упражнений";table_056;0.756;fuzzy_match;Высокая похожесть по токенам/строке.;"Комлпекс ЛФК упражнений на плечи, техника выполнения упражнений";424;30;424;плечи лфк плеч;лфк плеч;Ротаторная манжета плеча;true;"Махи на плечи в кроссовере, тросс сзади. Техника выполнения упражнения";0.212;Упражнение 1: Комплекс ЛФК упражнений на плечи 4 подходов x 10 раз | Упражнение 1: Комплекс ЛФК упражнений на плечи 4 подходов x 10 раз | Упражнение 1: Комплекс ЛФК упражнений на плечи. 4 подходов x 10 раз
Бабочка на большие грудные;бабочка на большие грудные;"Бабочка на большие грудные мышцы, техника выполнения упражнения";table_114;0.92;fuzzy_match;Название из программы является частью названия в exercise DB.;"Бабочка на большие грудные мышцы, техника выполнения упражнения";363;134;363;грудь;сведение рук;Большие грудные;true;"Бабочка на заднюю дельту в кроссовере, техника выполнения упражнения";0.316;Упражнение 2: Бабочка на большие грудные 4 подходов x 10 раз | Упражнение 2: Бабочка на большие грудные 4 подходов x 10 раз | Упражнение 2: Бабочка на большие грудные 4 подходов x 10 раз
Горизонтальная или гребная тяга широким хватом;горизонтальная или гребная тяга широким хватом;"Горизонтальная тяга широким хватом, техника выполнения упражнения";table_078;0.683;fuzzy_match;Высокая похожесть по токенам/строке.;"Горизонтальная тяга широким хватом, техника выполнения упражнения";232;101;232;спина;горизонтальная тяга;Верх спины;true;"Подтягивания в гравитроне широким хватом, техника выполнения упражнения";0.355;Упражнение 3: Горизонтальная или гребная тяга широким хватом 4 подходов x 8 раз | Упражнение 3: Горизонтальная или гребная тяга широким хватом 4 подходов x 8 раз | Упражнение 2: Горизонтальная или гребная тяга широким хватом 4 подходов x 8 раз
Горизонтальная тяга или гребная тяга.;горизонтальная тяга или гребная тяга;"Горизонтальная тяга, техника выполнения упражнения";table_055;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Горизонтальная тяга, техника выполнения упражнения";215;90;215;спина;горизонтальная тяга;Верх спины;true;"Горизонтальная тяга широким хватом, техника выполнения упражнения";0.485;Упражнение 3: Горизонтальная тяга или гребная тяга. 4 подходов x 10 раз | Упражнение 3: Горизонтальная тяга или гребная тяга. 4 подходов x 10 раз | Упражнение 3: Горизонтальная тяга или гребная тяга. 4 подходов x 10 раз
Классический жим в тренажере;классический жим в тренажере;"Классический жим от груди в тренажёре, техника выполнения упражнения";table_023;0.853;fuzzy_match;Высокая похожесть по токенам/строке.;"Классический жим от груди в тренажёре, техника выполнения упражнения";212;93;212;грудь;горизонтальный жим;Средняя грудь;true;"Трицепс в тренажере, техника выполнения упражнения";0.35;Упражнение 1: Классический жим в тренажере 4 подходов x 8 раз | Упражнение 1: Классический жим в тренажере 4 подходов x 8 раз | Упражнение 1: Классический жим в тренажере 4 подходов x 8 раз
Жим ногами на бицеп бедра;жим ногами на бицеп бедра;"Жим ногами, техника выполнения упражнения";table_028;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Жим ногами, техника выполнения упражнения";198;76;198;ноги;жим ногами;Квадрицепс;true;Жим ногами на бицепс бедра;0.761;Упражнение 5: Жим ногами на бицеп бедра 4 подходов x 12 раз | Упражнение 5: Жим ногами на бицеп бедра 4 подходов x 10 раз | Упражнение 5: Жим ногами на бицеп бедра 4 подходов x 12 раз
Приседания в кроссовере;приседания в кроссовере;"Приседание в кроссовере, техника выполнения упражнения";table_124;0.99;fuzzy_match;Высокая похожесть по токенам/строке.;"Приседание в кроссовере, техника выполнения упражнения";176;70;176;ноги;приседание;Квадрицепс / ягодицы;true;"Приседания в смите, техника выполнения упражнения";0.494;Упражнение 1: Приседания в кроссовере 4 подходов x 8 раз | Упражнение 1: Приседания в кроссовере 4 подходов x 8 раз | Упражнение 1: Приседания в кроссовере 4 подходов x 8 раз
