exercise_name;normalized_name;muscle_group;pattern;muscle_label;normalized_label;image_asset_path;status;confidence;method;review_status
Антиротация на пресс. Техника выполнения упражнения;антиротация на пресс;Пресс;Антиротация;Кор / косые мышцы;Косые мышцы живота;/muscle-templates/manual/core_obliques.png;alias_used;0.92;alias_used;approved
Антиротационные выпады с эспандером. Техника выполнения упражнения;антиротационные выпады с эспандером;Ноги/Пресс;Антиротация + выпад;Квадрицепс / ягодицы / кор;Квадрицепс / ягодицы;/muscle-templates/manual/lower_quads_glutes.png;alias_used;0.92;alias_used;approved
"Выпады с гантелями, техника выполнения упражнения";выпады с гантелями;Ноги;Выпад;Квадрицепс / ягодицы;Квадрицепс / ягодицы;/muscle-templates/manual/lower_quads_glutes.png;ok;1;label_exact;approved
"Вертикальная тяга узким хватом, техника выполнения упражнения";вертикальная тяга узким хватом;Спина;Вертикальная тяга;Широчайшие;Широчайшие;/muscle-templates/manual/upper_lats.png;ok;1;label_exact;approved
"Ягодичный мост в смитте, техника выполнения упражнения";ягодичный мост в смитте;Ягодицы;Разгибание таза;Большая ягодичная;Большая ягодичная;/muscle-templates/manual/lower_glute_maximus.png;ok;1;label_exact;approved
"Вертикальная тяга обратным хватом, техника выполнения упражнения";вертикальная тяга обратным хватом;Спина;Вертикальная тяга;Широчайшие / бицепс;Широчайшие / бицепс;/muscle-templates/manual/upper_lats_biceps.png;ok;1;label_exact;approved
"Сведение рук в кроссовере, техника выполнения упражнения";сведение рук в кроссовере;Грудь;Сведение рук;Большие грудные;Большие грудные;/muscle-templates/manual/upper_chest.jpg;ok;1;label_exact;approved
"Горизонтальная вытяжка в кроссовере, техника выполнения упражнения. (ЛФК для спины)";горизонтальная вытяжка в кроссовере лфк для спины;Спина/ЛФК спины;ЛФК-вытяжка;Разгибатели позвоночника;Разгибатели позвоночника;/muscle-templates/manual/lower_spinal_extensors.png;ok;1;label_exact;approved
"Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины)";вытяжка в гиперэкстензии лфк для спины;Спина/ЛФК спины;ЛФК-вытяжка;Разгибатели позвоночника;Разгибатели позвоночника;/muscle-templates/manual/lower_spinal_extensors.png;ok;1;label_exact;approved
"Латеральная или боковая вытяжка в кросовере, техника выполнения упражнения. (ЛФК для спины)";латеральная или боковая вытяжка в кросовере лфк для спины;;ЛФК-вытяжка;Квадратная мышца поясницы;Квадратная мышца поясницы;/muscle-templates/manual/lower_quadratus_lumborum.png;ok;1;label_exact;approved
"Жим в смитте, техника выполнения упражнения";жим в смитте;Грудь;Горизонтальный жим;Средняя грудь;Средняя грудь;/muscle-templates/manual/upper_mid_chest.jpg;ok;1;label_exact;approved
"Зашагивания на тумбу, техника выполнения упражнения";зашагивания на тумбу;Ноги/ягодицы;Зашагивание;Ягодицы / квадрицепс;Квадрицепс / ягодицы;/muscle-templates/manual/lower_quads_glutes.png;alias_used;0.92;alias_used;approved
"Выпады в кроссовере, техника выполнения упражнения";выпады в кроссовере;Ноги/ягодицы;Выпад;Ягодицы / квадрицепс;Квадрицепс / ягодицы;/muscle-templates/manual/lower_quads_glutes.png;alias_used;0.92;alias_used;approved
"Си-си присед с собственным весом, техника выполнения упражнения";си си присед с собственным весом;Ноги/квадрицепс;Приседание;Квадрицепс;Квадрицепс;/muscle-templates/manual/lower_quads.png;ok;1;label_exact;approved
"Жим в хаммере на низ груди, техника выполнения упражнения";жим в хаммере на низ груди;Грудь;Горизонтальный жим;Нижняя грудь;Нижняя грудь;/muscle-templates/manual/upper_lower_chest.jpg;ok;1;label_exact;approved
"Сгибание ног сидя, техника выполнения упражнения";сгибание ног сидя;Ноги/бицепс бедра;Сгибание ног;Бицепс бедра;Бицепс бедра;/muscle-templates/manual/lower_hamstrings.png;ok;1;label_exact;approved
"Изодинамический жим гантелей на 30* скамье, техника выполнения упражнения";изодинамический жим гантелей на 30 скамье;Грудь;Горизонтальный жим;Верх груди;Верх груди;/muscle-templates/manual/upper_chest_incline.png;ok;1;label_exact;approved
"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";си си присед на бицепс бедра в смите;Ноги/бицепс бедра;Сгибание ног;Бицепс бедра;Бицепс бедра;/muscle-templates/manual/lower_hamstrings.png;ok;1;label_exact;approved
