program_name;matched_name;app_has_video;suggested_match;suggested_score;suggested_has_video
Гиперэкстензия;"Гиперэкстензия, техника выполнения упражнения";true;"Гиперэкстензия, техника выполнения упражнения";1;true
Подтягивания в гравитроне параллельным хватом;"Подтягивания в гравитроне параллельным хватом, техника выполнения упражнения";true;"Подтягивания в гравитроне параллельным хватом, техника выполнения упражнения";1;true
Сгибание ног сидя;"Сгибание ног сидя, техника выполнения упражнения";true;"Сгибание ног сидя, техника выполнения упражнения";1;true
Мертвая тяга;"Мёртвая тяга, техника выполнения упражнения";true;"Мёртвая тяга, техника выполнения упражнения";1;true
Сгибание Зотмана;"Сгибание Зотмана, техника выполнения упражнения";true;"Сгибание Зотмана, техника выполнения упражнения";1;true
Классическая планка;"Классическая планка, техника выполнения упражнения";true;"Классическая планка, техника выполнения упражнения";1;true
Растяжка на все тело;;false;Антиротация на пресс. Техника выполнения упражнения;0;true
Отжимания в смитте;;false;"Жим в смитте, техника выполнения упражнения";0.5;true
Разводка под 15*;"Раводка под 15*, техника выполнения упражнения";true;"Раводка под 15*, техника выполнения упражнения";0.6666666666666666;true
Выпады в кроссовере;"Выпады в кроссовере, техника выполнения упражнения";true;"Выпады в кроссовере, техника выполнения упражнения";1;true
Ягодичный мост в тренажере;"Ягодичный мост в тренажере, техника выполнения упражнения";true;"Ягодичный мост в тренажере, техника выполнения упражнения";1;true
Разгибание на трицепс с канатной рукоятью;"Разгибание на трицепс в кроссовере с канатной рукояткой, техника выполнения упражнения";true;"Разгибание на трицепс в кроссовере с канатной рукояткой, техника выполнения упражнения";0.6;true
Жим гантелей сидя;"Жим гантелей сидя, техника выполнения упражнения";true;"Жим гантелей сидя, техника выполнения упражнения";1;true
Римские подтягивания;"Римские подтягивания, техника выполнения упражнения";true;"Римские подтягивания, техника выполнения упражнения";1;true
Сгибание лежа по 1 ноге;"Сгибание лежа по 1 ноге, техника выполнения упражнения";true;"Сгибание лежа по 1 ноге, техника выполнения упражнения";1;true
"Молотки, подъем на бицепс.";"Молотки, подъем на бицепс, техника выполнения упражнения";true;"Молотки, подъем на бицепс, техника выполнения упражнения";1;true
Планка на босу;"Планка на босу, техника выполнения упражнения";true;"Планка на босу, техника выполнения упражнения";1;true
Классический жим в тренажере;"Классический жим от груди в тренажёре, техника выполнения упражнения";true;"Классический жим от груди в тренажёре, техника выполнения упражнения";0.75;true
Выпады со штангой;"Выпады со штангой на ягодицы, техника выполнения упражнения";true;"Выпады со штангой на ягодицы, техника выполнения упражнения";0.6666666666666666;true
Обратные отжимания;"Обратные отжимания, техника выполнения упражнения";true;"Обратные отжимания, техника выполнения упражнения";1;true
Бабочка на заднюю дельту;"Бабочка на заднюю дельту в кроссовере, техника выполнения упражнения";true;"Бабочка на заднюю дельту в кроссовере, техника выполнения упражнения";0.75;true
Подъемы ног;"Подъемы ног на пресс, техника выполнения упражнения";true;"Подъемы ног на пресс, техника выполнения упражнения";0.6666666666666666;true
Румынская тяга;"Румынская тяга, техника выполнения упражнения";true;"Румынская тяга, техника выполнения упражнения";1;true
Сгибание ног лежа;"Сгибание ног лёжа, техника выполнения упражнения";true;"Сгибание ног лёжа, техника выполнения упражнения";1;true
Прямые скручивания с мячом;"Прямые скручивания с мячом, техника выполнения упражнения";true;"Прямые скручивания с мячом, техника выполнения упражнения";1;true
Планка на босу под ногами;"Планка на босу под ногами, техника выполнения упражнения";true;"Планка на босу под ногами, техника выполнения упражнения";1;true
Классический подъем на бицепс в кроссовере;"Классический подъем на бицепс в кроссовере, техника выполнения упражнения";true;"Классический подъем на бицепс в кроссовере, техника выполнения упражнения";1;true
Бабочка на большие грудные;"Бабочка на большие грудные мышцы, техника выполнения упражнения";true;"Бабочка на большие грудные мышцы, техника выполнения упражнения";0.75;true
Выпады в смите;"Выпады в смитте, техника выполнения упражнения";true;"Выпады с гантелями, техника выполнения упражнения";0.5;true
Тяга из-за головы в кроссовере на трицепс.;"Тяга из-за головы в кроссовере на трицепс, техника выполнения упражнения";true;"Тяга из-за головы в кроссовере на трицепс, техника выполнения упражнения";1;true
Скрепка;"Скрепка на пресс, техника выполнения упражнения";true;"Скрепка на пресс, техника выполнения упражнения";0.5;true
Вертикальная тяга широким хватом;"Вертикальная тяга, техника выполнения упражнения";true;"Вертикальная тяга узким хватом, техника выполнения упражнения";0.75;true
Планка с перестановкой ног;"Планка с перестановкой ног, техника выполнения упражнения";true;"Планка с перестановкой ног, техника выполнения упражнения";1;true
Жим платформы на ягодицы;"Жим платформы на ягодицы, техника выполнения упражнения";true;"Жим платформы на ягодицы, техника выполнения упражнения";1;true
Тяга из-за головы на трицепс;"Тяга из-за головы в кроссовере на трицепс, техника выполнения упражнения";true;"Тяга из-за головы в кроссовере на трицепс, техника выполнения упражнения";0.8;true
Скручивания на скамье для пресса;"Скручивания на скамье для пресса, техника выполнения упражнения";true;"Скручивания на скамье для пресса, техника выполнения упражнения";1;true
Приседания в кроссовере;;false;"Выпады в кроссовере, техника выполнения упражнения";0.5;true
Выпады с гантелями;"Выпады с гантелями, техника выполнения упражнения";true;"Выпады с гантелями, техника выполнения упражнения";1;true
Махи на заднюю дельту на скамье 30*;"Махи на заднюю дельту на 30* скамье, техника выполнения упражнения";true;"Махи на заднюю дельту на 30* скамье, техника выполнения упражнения";1;true
Махи на скамье под 45* на плечи;"Махи на скамье под 45*, техника выполнения упражнения";true;"Махи на скамье под 45*, техника выполнения упражнения";0.8;true
Классические отжимания;"Классические отжимания, техника выполнения упражнения";true;"Классические отжимания, техника выполнения упражнения";1;true
Жим гантелей лежа;"Жим гантелей лёжа, техника выполнения упражнения";true;"Жим гантелей лёжа, техника выполнения упражнения";1;true
Жим узким хватом;"Жим узким хватом в смитте, техника выполнения упражнения";true;"Жим узким хватом в смитте, техника выполнения упражнения";0.75;true
Французский жим с гантелями;"Французский жим с гантелями, техника выполнения упражнения";true;"Французский жим с гантелями, техника выполнения упражнения";1;true
