exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
table_165;21;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_002;Антиротационные выпады с эспандером;ноги пресс;Квадрицепс / ягодицы / кор;Антиротация + выпад;антиротация выпад;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_001;Антиротация на пресс;пресс;Кор / косые мышцы;Антиротация;антиротация;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_050;Армейский жим;плечи передняя дельта средняя дельта;Передняя / средняя дельта;Вертикальный жим;вертикальный жим;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_114;Бабочка на большие грудные мышцы;грудь;Большие грудные;Сведение рук;сведение рук;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_049;Бабочка на заднюю дельту в кроссовере;плечи задняя дельта;Задняя дельта;Разведение плеча;разведение плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_174;Бицепс по 1 руке в кроссовере;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_164;Бицепс с гантелью на скамье скотта;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_163;Бицепс с двумя гантелями на скамье скотта;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_175;Бицепс с канатной рукояткой в кроссовере;бицепс;Бицепс / брахиалис;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_166;Бицепс со штангой в скамье скотта;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_119;Болгарский присед;ноги ягодицы;Ягодицы / квадрицепс;Выпад;выпад;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_100;Велосипедные скручивания на пресс;пресс;Косые мышцы живота;Скручивание;скручивание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_127;Вертикальная тяга;спина;Широчайшие;Вертикальная тяга;вертикальная тяга;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_006;Вертикальная тяга обратным хватом;спина;Широчайшие / бицепс;Вертикальная тяга;вертикальная тяга;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_054;Вертикальная тяга одной рукой;спина;Широчайшие;Вертикальная тяга;вертикальная тяга;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_004;Вертикальная тяга узким хватом;спина;Широчайшие;Вертикальная тяга;вертикальная тяга;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_013;Выпады в кроссовере;ноги ягодицы;Ягодицы / квадрицепс;Выпад;выпад;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_029;Выпады в смитте;ноги ягодицы;Ягодицы / квадрицепс;Выпад;выпад;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_003;Выпады с гантелями;ноги;Квадрицепс / ягодицы;Выпад;выпад;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_032;Выпады со штангой на ягодицы;ноги ягодицы;Ягодицы;Выпад;выпад;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_042;Выпрыгивания с места;ноги;Квадрицепс / ягодицы;Плиометрика;плиометрика;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_009;Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины);спина лфк спины;Разгибатели позвоночника;ЛФК-вытяжка;лфк вытяжка;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_040;Гак присед;ноги;Квадрицепс;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_071;Гибридная тяга;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_113;Гильотина;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_120;Гиперэкстензия;спина;Разгибатели позвоночника;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_008;Горизонтальная вытяжка в кроссовере, техника выполнения упражнения. (ЛФК для спины);спина лфк спины;Разгибатели позвоночника;ЛФК-вытяжка;лфк вытяжка;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_055;Горизонтальная тяга;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_078;Горизонтальная тяга широким хватом;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_043;Горизонтальный жим ногами;ноги;Квадрицепс;Жим ногами;жим ногами;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_104;Динамическая планка на косые мышцы;пресс;Косые мышцы живота;Стабилизация;стабилизация;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_021;Дуговая разводка;грудь;Большие грудные;Разведение рук;разведение рук;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_106;Дуговые махи гантелями;плечи;Средняя / передняя дельта;Отведение плеча;отведение плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_188;Дуговые махи гантелями стоя;плечи;Средняя дельта;Отведение плеча;отведение плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
ex_дуговые-махи-на-заднюю-дельту;Дуговые махи на заднюю дельту;плечи;;shoulder_isolation;shoulder_isolation;data_quality;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_5322b24c53;Дуговые махи на заднюю дельту;;;;;data_quality;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_061;Жим Арнольда;плечи;Передняя / средняя дельта;Вертикальный жим;вертикальный жим;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_011;Жим в смитте;грудь;Средняя грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_027;Жим в хаммере на верх груди;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_015;Жим в хаммере на низ груди;грудь;Нижняя грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_047;Жим гантелей лёжа;грудь;Средняя грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_048;Жим гантелей на 30* скамье;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_062;Жим гантелей сидя;плечи;Передняя / средняя дельта;Вертикальный жим;вертикальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_154;Жим гирей с пола;трицепс;Трицепс / грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_059;Жим на плечи под 60* в смитте;плечи передняя дельта средняя дельта;Передняя / средняя дельта;Вертикальный жим;вертикальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_028;Жим ногами;ноги;Квадрицепс;Жим ногами;жим ногами;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_024;Жим ногами на бицепс бедра;ноги бицепс бедра;Бицепс бедра / ягодицы;Жим ногами;жим ногами;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_033;Жим ногами с параллельной постановкой ног;ноги;Квадрицепс;Жим ногами;жим ногами;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_035;Жим ногами с широкой постановкой ног;ноги;Приводящие / ягодицы;Жим ногами;жим ногами;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_020;Жим платформы на ягодицы;ягодицы;Большая ягодичная;Жим ногами;жим ногами;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_025;Жим платформы по 1 ноге;ноги;Квадрицепс / ягодицы;Жим ногами;жим ногами;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_150;Жим с паузой;грудь;Средняя грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_155;Жим с пола узким хватом;трицепс;Трицепс / грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_031;Жим Свенда в кроссовере;грудь;Внутренняя грудь;Сведение рук;сведение рук;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_129;Жим узким хватом в смитте;трицепс;Трицепс / грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_149;Жим штанги лёжа;грудь;Средняя грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_046;Жим штанги под углом;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_158;Жим штанги узким хватом;трицепс;Трицепс / грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_092;Задняя дельта в кроссовере стоя;плечи задняя дельта;Задняя дельта;Разведение плеча;разведение плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_012;Зашагивания на тумбу;ноги ягодицы;Ягодицы / квадрицепс;Зашагивание;зашагивание;data_quality;"missing_youtube; unknown_difficulty; duplicate_name; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_176;Изодинамиеский подъем на бицепс;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_105;Изодинамические махи гантелями;плечи;Средняя дельта;Отведение плеча;отведение плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_063;Изодинамические махи гантелями сидя;плечи;Средняя дельта;Отведение плеча;отведение плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
ex_изодинамические-махи-на-заднюю-дельту;Изодинамические махи на заднюю дельту;плечи;;shoulder_isolation;shoulder_isolation;data_quality;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_5207bc9d32;Изодинамические махи на заднюю дельту;;;;;data_quality;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_017;Изодинамический жим гантелей на 30* скамье;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_131;Калифорнийский жим, в смитте;трицепс;Трицепс / грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_099;Касание пяток на пресс;пресс;Косые мышцы живота;Скручивание;скручивание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_102;Классическая планка;пресс;Кор;Стабилизация;стабилизация;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
ex_классические-выпады;Классические выпады.;квадрицепс;;squat_lunge;squat_lunge;data_quality;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_8e2a47091e;Классические выпады.;;;;;data_quality;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_103;Классические отжимания;грудь;Грудные / трицепс;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; duplicate_name; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_023;Классический жим от груди в тренажёре;грудь;Средняя грудь;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_173;Классический подъем на бицепс в кроссовере;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_056;Комлпекс ЛФК упражнений на плечи;плечи лфк плеч;Ротаторная манжета плеча;ЛФК плеч;лфк плеч;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_181;Концентрированный подъем на бицепс;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_095;Косые скручивания с мячом;пресс;Косые мышцы живота;Скручивание;скручивание;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
