exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
ex_дуговые-махи-на-заднюю-дельту;Дуговые махи на заднюю дельту;плечи;;shoulder_isolation;shoulder_isolation;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_5322b24c53;Дуговые махи на заднюю дельту;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_изодинамические-махи-на-заднюю-дельту;Изодинамические махи на заднюю дельту;плечи;;shoulder_isolation;shoulder_isolation;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_5207bc9d32;Изодинамические махи на заднюю дельту;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_классические-выпады;Классические выпады.;квадрицепс;;squat_lunge;squat_lunge;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_8e2a47091e;Классические выпады.;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_молотковые-сгибания-с-канатной-рукоятью-в-кроссовере;Молотковые сгибания с канатной рукоятью в кроссовере;бицепс;;elbow_flexion;elbow_flexion;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; suspicious_equipment; duplicate_name";public/data/exercise-catalog.json
prog_53822ac1cc;Молотковые сгибания с канатной рукоятью в кроссовере;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_отжимания-в-смитте;Отжимания в смитте;грудь;;horizontal_push;horizontal_push;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; suspicious_equipment; duplicate_name";public/data/exercise-catalog.json
prog_1897de4f5d;Отжимания в смитте;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_присед-в-смите;Присед в смите;квадрицепс;;squat_lunge;squat_lunge;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; suspicious_equipment; duplicate_name";public/data/exercise-catalog.json
prog_5add535f41;Присед в смите;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_присед-плие;Присед плие;квадрицепс;;squat_lunge;squat_lunge;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_a4b82a6571;Присед плие;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_растяжка-на-все-тело;Растяжка на все тело;мобильность;;mobility;mobility;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_9dca3c00c2;Растяжка на все тело;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
ex_скручивание-на-полу;Скручивание на полу;кор;;trunk_flexion;trunk_flexion;missing_muscle_map;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_c2e132ab52;Скручивание на полу;;;;;missing_muscle_map;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
