exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
table_002;Антиротационные выпады с эспандером;ноги пресс;Квадрицепс / ягодицы / кор;Антиротация + выпад;антиротация выпад;missing_replacement_group;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_001;Антиротация на пресс;пресс;Кор / косые мышцы;Антиротация;антиротация;missing_replacement_group;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_042;Выпрыгивания с места;ноги;Квадрицепс / ягодицы;Плиометрика;плиометрика;missing_replacement_group;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
prog_5322b24c53;Дуговые махи на заднюю дельту;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
prog_5207bc9d32;Изодинамические махи на заднюю дельту;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
prog_8e2a47091e;Классические выпады.;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_056;Комлпекс ЛФК упражнений на плечи;плечи лфк плеч;Ротаторная манжета плеча;ЛФК плеч;лфк плеч;missing_replacement_group;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
prog_53822ac1cc;Молотковые сгибания с канатной рукоятью в кроссовере;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
prog_1897de4f5d;Отжимания в смитте;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_145;Отходы со штангой;ноги;Кор / стабилизаторы;Стабилизация со штангой;стабилизация со штангой;missing_replacement_group;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
prog_5add535f41;Присед в смите;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
prog_a4b82a6571;Присед плие;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
prog_9dca3c00c2;Растяжка на все тело;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
prog_c2e132ab52;Скручивание на полу;;;;;missing_replacement_group;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_057;Тяга Ли Хэйни;плечи задняя дельта;Задняя дельта;Разгибание плеча;разгибание плеча;missing_replacement_group;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_143;Удержание веса;грудь;Грудные / стабилизаторы;Удержание;удержание;missing_replacement_group;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
