exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
table_165;21;бицепс;Бицепс;Сгибание локтя;сгибание локтя;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_002;Антиротационные выпады с эспандером;ноги пресс;Квадрицепс / ягодицы / кор;Антиротация + выпад;антиротация выпад;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_001;Антиротация на пресс;пресс;Кор / косые мышцы;Антиротация;антиротация;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_042;Выпрыгивания с места;ноги;Квадрицепс / ягодицы;Плиометрика;плиометрика;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_071;Гибридная тяга;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_113;Гильотина;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_021;Дуговая разводка;грудь;Большие грудные;Разведение рук;разведение рук;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_061;Жим Арнольда;плечи;Передняя / средняя дельта;Вертикальный жим;вертикальный жим;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_011;Жим в смитте;грудь;Средняя грудь;Горизонтальный жим;горизонтальный жим;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_027;Жим в хаммере на верх груди;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
