original_exercise_id;original_exercise_name;suggested_replacement_id;suggested_replacement_name;score;why_selected;why_it_may_be_wrong;duplicate_risk;same_normalized_base_name;same_didactic_pattern;same_technical_pattern;same_muscle_label;same_equipment;needs_manual_review
table_003;Выпады с гантелями, техника выполнения упражнения;prog_14506_175416_3;Выпады со штангой;221;Matched on movement pattern (выпад) and muscle group (ноги ягодицы). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_003;Выпады с гантелями, техника выполнения упражнения;table_032;Выпады со штангой на ягодицы, техника выполнения упражнения;221;Matched on movement pattern (выпад) and muscle group (ноги ягодицы). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_003;Выпады с гантелями, техника выполнения упражнения;prog_14506_175414_3;Выпады в кроссовере;191;Matched on movement pattern (выпад) and muscle group (ноги ягодицы). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_003;Выпады с гантелями, техника выполнения упражнения;table_029;Выпады в смитте, техника выполнения упражнения;191;Matched on movement pattern (выпад) and muscle group (ноги ягодицы). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_003;Выпады с гантелями, техника выполнения упражнения;prog_14519_175721_5;Болгарский присед;186;Matched on movement pattern (выпад) and muscle group (ноги ягодицы). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_004;Вертикальная тяга узким хватом, техника выполнения упражнения;prog_14508_175463_2;Вертикальная тяга обратным хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_004;Вертикальная тяга узким хватом, техника выполнения упражнения;prog_14506_175419_3;Вертикальная тяга широким хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_004;Вертикальная тяга узким хватом, техника выполнения упражнения;table_127;Вертикальная тяга, техника выполнения упражнения;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;;false;false;true;true;true;true;false
table_004;Вертикальная тяга узким хватом, техника выполнения упражнения;prog_14694_179733_2;Подтягивания в гравитроне обратным хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_004;Вертикальная тяга узким хватом, техника выполнения упражнения;prog_14506_175413_2;Подтягивания в гравитроне параллельным хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_005;Ягодичный мост в смитте, техника выполнения упражнения;prog_14506_175414_4;Ягодичный мост в тренажере;291;Matched on movement pattern (разгибание таза) and muscle group (ягодицы). Same equipment.;;false;false;true;true;true;true;false
table_005;Ягодичный мост в смитте, техника выполнения упражнения;table_116;Ягодичный мост на полу, техника выполнения упражнения;291;Matched on movement pattern (разгибание таза) and muscle group (ягодицы). Same equipment.;;false;false;true;true;true;true;false
table_005;Ягодичный мост в смитте, техника выполнения упражнения;prog_14507_175434_3;Ягодичный мост со штангой;286;Matched on movement pattern (разгибание таза) and muscle group (ягодицы). Same equipment.;;false;false;true;true;true;true;false
table_006;Вертикальная тяга обратным хватом, техника выполнения упражнения;prog_14508_175466_2;Вертикальная тяга узким хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_006;Вертикальная тяга обратным хватом, техника выполнения упражнения;prog_14506_175419_3;Вертикальная тяга широким хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_006;Вертикальная тяга обратным хватом, техника выполнения упражнения;table_127;Вертикальная тяга, техника выполнения упражнения;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_006;Вертикальная тяга обратным хватом, техника выполнения упражнения;prog_14694_179733_2;Подтягивания в гравитроне обратным хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;;false;false;true;true;true;true;false
table_006;Вертикальная тяга обратным хватом, техника выполнения упражнения;prog_14506_175413_2;Подтягивания в гравитроне параллельным хватом;291;Matched on movement pattern (вертикальная тяга) and muscle group (спина). Same equipment.;;false;false;true;true;true;true;false
table_007;Сведение рук в кроссовере, техника выполнения упражнения;prog_14506_175418_2;Бабочка на большие грудные;291;Matched on movement pattern (сведение рук) and muscle group (грудь). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_007;Сведение рук в кроссовере, техника выполнения упражнения;table_114;Бабочка на большие грудные мышцы, техника выполнения упражнения;291;Matched on movement pattern (сведение рук) and muscle group (грудь). Same equipment.;;false;false;true;true;true;true;false
table_007;Сведение рук в кроссовере, техника выполнения упражнения;prog_14500_175273_2;Сведение рук в кроссовере 10 раз;291;Matched on movement pattern (сведение рук) and muscle group (грудь). Same equipment.;duplicate_or_same_base_name;true;true;true;true;true;true;true
table_007;Сведение рук в кроссовере, техника выполнения упражнения;prog_14501_175296_2;Сведение рук в кроссовере на 30* скамье;291;Matched on movement pattern (сведение рук) and muscle group (грудь). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_007;Сведение рук в кроссовере, техника выполнения упражнения;prog_14583_177306_3;Сведение рук в кроссовере на 30* скамье 10 раз;291;Matched on movement pattern (сведение рук) and muscle group (грудь). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_008;Горизонтальная вытяжка в кроссовере, техника выполнения упражнения. (ЛФК для спины);prog_14641_178503_1;Вытяжка в гиперэкстензии;291;Matched on movement pattern (лфк вытяжка) and muscle group (спина лфк спины). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_008;Горизонтальная вытяжка в кроссовере, техника выполнения упражнения. (ЛФК для спины);table_009;Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины);291;Matched on movement pattern (лфк вытяжка) and muscle group (спина лфк спины). Same equipment.;;false;false;true;true;true;true;false
table_008;Горизонтальная вытяжка в кроссовере, техника выполнения упражнения. (ЛФК для спины);prog_14641_178505_2;Горизонтальная вытяжка в кроссовере;291;Matched on movement pattern (лфк вытяжка) and muscle group (спина лфк спины). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_009;Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины);prog_14641_178503_1;Вытяжка в гиперэкстензии;291;Matched on movement pattern (лфк вытяжка) and muscle group (спина лфк спины). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_009;Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины);prog_14641_178505_2;Горизонтальная вытяжка в кроссовере;291;Matched on movement pattern (лфк вытяжка) and muscle group (спина лфк спины). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_009;Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины);table_008;Горизонтальная вытяжка в кроссовере, техника выполнения упражнения. (ЛФК для спины);291;Matched on movement pattern (лфк вытяжка) and muscle group (спина лфк спины). Same equipment.;;false;false;true;true;true;true;false
table_011;Жим в смитте, техника выполнения упражнения;prog_14508_175462_2;Жим гантелей лежа;291;Matched on movement pattern (горизонтальный жим) and muscle group (грудь). Same equipment.;;false;false;true;true;true;true;false
table_011;Жим в смитте, техника выполнения упражнения;prog_14508_175465_1;Жим гантелей лёжа на скамье 30*;291;Matched on movement pattern (горизонтальный жим) and muscle group (грудь). Same equipment.;"different_muscle_label; weak_pattern_match; different_equipment";false;false;false;false;false;false;true
table_011;Жим в смитте, техника выполнения упражнения;table_150;Жим с паузой, техника выполнения упражнения;291;Matched on movement pattern (горизонтальный жим) and muscle group (грудь). Same equipment.;;false;false;true;true;true;true;false
table_011;Жим в смитте, техника выполнения упражнения;table_023;Классический жим от груди в тренажёре, техника выполнения упражнения;291;Matched on movement pattern (горизонтальный жим) and muscle group (грудь). Same equipment.;;false;false;true;true;true;true;false
table_011;Жим в смитте, техника выполнения упражнения;table_126;Отжимания в тренажёре смитта, техника выполнения упражнения;291;Matched on movement pattern (горизонтальный жим) and muscle group (грудь). Same equipment.;;false;false;true;true;true;true;false
table_012;Зашагивания на тумбу, техника выполнения упражнения;prog_14525_175896_3;Зашагивания на тумбу 10 раз;291;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;duplicate_or_same_base_name;true;true;true;true;true;true;true
table_012;Зашагивания на тумбу, техника выполнения упражнения;prog_14699_179889_3;Зашагивания на тумбу 12 раз;291;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;duplicate_or_same_base_name;true;true;true;true;true;true;true
table_012;Зашагивания на тумбу, техника выполнения упражнения;prog_14591_177548_5;Зашагивания на тумбу 15 раз;291;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;duplicate_or_same_base_name;true;true;true;true;true;true;true
table_012;Зашагивания на тумбу, техника выполнения упражнения;prog_14646_178621_5;Зашагивания на тумбу 8 раз;291;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;duplicate_or_same_base_name;true;true;true;true;true;true;true
table_012;Зашагивания на тумбу, техника выполнения упражнения;prog_14517_175679_3;Латеральные или боковые зашагивания;191;Matched on movement pattern (зашагивание) and muscle group (ноги бицепс бедра). Same equipment.;different_muscle_label;false;false;true;true;false;true;true
table_013;Выпады в кроссовере, техника выполнения упражнения;table_029;Выпады в смитте, техника выполнения упражнения;291;Matched on movement pattern (выпад) and muscle group (ноги ягодицы). Same equipment.;;false;false;true;true;true;true;false
