original_exercise;suggested_replacement;why_selected;why_it_may_be_wrong
"Сведение рук в кроссовере, техника выполнения упражнения";Сведение рук в кроссовере 10 раз;Matched on movement pattern (сведение рук) and muscle group (грудь). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Зашагивания на тумбу, техника выполнения упражнения";Зашагивания на тумбу 10 раз;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Зашагивания на тумбу, техника выполнения упражнения";Зашагивания на тумбу 12 раз;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Зашагивания на тумбу, техника выполнения упражнения";Зашагивания на тумбу 15 раз;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Зашагивания на тумбу, техника выполнения упражнения";Зашагивания на тумбу 8 раз;Matched on movement pattern (зашагивание) and muscle group (ноги ягодицы). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Си-си присед с собственным весом, техника выполнения упражнения";Си-си присед с собственным весом 10 раз;Matched on movement pattern (приседание) and muscle group (ноги квадрицепс). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Латеральные или боковые зашагивания, техника выполнения упражнения";Латеральные или боковые зашагивания 10 раз;Matched on movement pattern (зашагивание) and muscle group (ноги бицепс бедра). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Латеральные или боковые зашагивания, техника выполнения упражнения";Латеральные или боковые зашагивания 12 раз;Matched on movement pattern (зашагивание) and muscle group (ноги бицепс бедра). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Латеральные или боковые зашагивания, техника выполнения упражнения";Латеральные или боковые зашагивания 15 раз;Matched on movement pattern (зашагивание) and muscle group (ноги бицепс бедра). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Латеральные или боковые зашагивания, техника выполнения упражнения";Латеральные или боковые зашагивания 8 раз;Matched on movement pattern (зашагивание) and muscle group (ноги бицепс бедра). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Сгибание ног лёжа, техника выполнения упражнения";Сгибание ног лежа 15 раз;Matched on movement pattern (сгибание ног) and muscle group (ноги бицепс бедра). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Классические отжимания, техника выполнения упражнения";Классические отжимания 10 раз;Matched on movement pattern (горизонтальный жим) and muscle group (грудь). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Мёртвая тяга, техника выполнения упражнения";Мертвая тяга 12 раз;Matched on movement pattern (разгибание таза) and muscle group (ноги бицепс бедра). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Разгибание ног, техника выполнения упражнения";Разгибание ног 10 раз;Matched on movement pattern (разгибание ног) and muscle group (ноги). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
"Отжимания с гантелей на трицепс, техника выполнения упражнений";Отжимания с гантелей на трицепс;Matched on movement pattern (разгибание локтя) and muscle group (трицепс). Same equipment.;"Differ only by repetitions/reps, digits, or stop-words like 'раз', 'техника выполнения', 'вариант'. They are duplicate variants of the same exercise."
