id,name,muscleGroup,secondaryMuscleGroup,movementType,equipment,difficulty,movementPattern,laterality,verticalHorizontal,axialLoad,exerciseCategory,alternatives,sourceCount,needsManualReview,manualNotes
"ex_21","21","","","","","unknown","","bilateral","","false","","","25","true","Нужно вручную разметить перед использованием в заменах."
"ex_армейский-жим","Армейский жим","плечи","трицепс","push","bodyweight","beginner","vertical_push","bilateral","vertical_push","false","strength_vertical_push","","15","false",""
"ex_бабочка-на-большие-грудные","Бабочка на большие грудные","грудь","трицепс","push","machine","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Бабочка на заднюю дельту; Бабочка на большие грудные 10 раз; Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Классические отжимания; Обратные отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне","363","false",""
"ex_бабочка-на-большие-грудные-10-раз","Бабочка на большие грудные 10 раз","грудь","трицепс","push","machine","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Бабочка на большие грудные; Бабочка на заднюю дельту; Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Классические отжимания; Обратные отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне","4","false",""
"ex_бабочка-на-заднюю-дельту","Бабочка на заднюю дельту","грудь","трицепс","push","machine","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Бабочка на большие грудные; Бабочка на большие грудные 10 раз; Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Классические отжимания; Обратные отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне","137","false",""
"ex_бицепс-с-гантелью-на-скамье-скотта","Бицепс с гантелью на скамье Скотта","бицепс","предплечья","isolation","free_weight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс со штангой на скамье Скотта; Подъем на бицепс с гантелями сидя; Подъем EZ-штанги на бицепс; Бицепс с двумя гантелями на скамье Скотта; Подъем на бицепс гантелей стоя.; Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс","56","false",""
"ex_бицепс-с-двумя-гантелями-на-скамье-скотта","Бицепс с двумя гантелями на скамье Скотта","бицепс","предплечья","isolation","free_weight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с гантелью на скамье Скотта; Бицепс со штангой на скамье Скотта; Подъем на бицепс с гантелями сидя; Подъем EZ-штанги на бицепс; Подъем на бицепс гантелей стоя.; Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс","15","false",""
"ex_бицепс-с-канатной-рукояткой-в-кроссовере","Бицепс с канатной рукояткой в кроссовере","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","135","false",""
"ex_бицепс-со-штангой-на-скамье-скотта","Бицепс со штангой на скамье Скотта","бицепс","предплечья","isolation","free_weight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с гантелью на скамье Скотта; Подъем на бицепс с гантелями сидя; Подъем EZ-штанги на бицепс; Бицепс с двумя гантелями на скамье Скотта; Подъем на бицепс гантелей стоя.; Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс","60","false",""
"ex_боковая-или-латеральная-планка","Боковая или латеральная планка","кор","","core","bodyweight","beginner","anti_extension","bilateral","core","false","strength_anti_extension","Динамическая планка на косые мышцы; Классическая планка; Планка с перестановкой ног; Планка на босу под ногами; Планка на фитболе; Планка на фитболе под руками; Планка на босу","106","false",""
"ex_болгарский-присед","Болгарский присед","квадрицепс","ягодицы","push","bodyweight","intermediate","squat_lunge","unilateral","lower_push","true","strength_squat_lunge","Обратный гак присед; Присед плие; Приседания в кроссовере; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Присед с паузой","94","false",""
"ex_велосипедные-скручивания","Велосипедные скручивания","кор","","core","bodyweight","beginner","trunk_flexion","bilateral","core","false","strength_trunk_flexion","Касания пяток (пресс); Косые скручивания с мячом; Подъемы ног на скамье для пресса; Прямые скручивания с мячом; Скручивания на скамье для пресса; Прямые скручивания на пресс; Скручивание на полу; Пресс на босу","6","false",""
"ex_вертикальная-тяга-обратным-хватом","Вертикальная тяга обратным хватом","спина","бицепс","pull","bodyweight","intermediate","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой; Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом; Подтягивания в гравитроне обратным хватом","90","false",""
