title,normalized_title,youtube_url,video_id,thumbnail_url,duration,upload_date,category,shorts_url,source
"5 минутная зарядка, сохрани, чтобы не потерять. #зарядка5мин #энергиявтеле #tagirfruit","5 минутная зарядка, сохрани, чтобы не потерять.","https://www.youtube.com/watch?v=N5SPhiEDoR4","N5SPhiEDoR4","https://i.ytimg.com/vi/N5SPhiEDoR4/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBJKD4wDw==&rs=AOn4CLB0lBxchqLC6eXpS7Iqu9Q2syw2Wg","0:05","Jun 16, 2025","needs_review","https://www.youtube.com/shorts/N5SPhiEDoR4","shorts"
"Бицепс в кроссовере по 1 руке","Бицепс в кроссовере по 1 руке","https://www.youtube.com/watch?v=9sakXY-0srI","9sakXY-0srI","https://i.ytimg.com/vi/9sakXY-0srI/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBSKDowDw==&rs=AOn4CLDH1dGAGMq6k18ZMmSUkOxr7Mhlsw","1:00","Nov 14, 2024","бицепс","https://www.youtube.com/shorts/9sakXY-0srI","shorts"
"Бицепс в скамье Скотта","Бицепс в скамье Скотта","https://www.youtube.com/watch?v=-pcs5ji3Hho","-pcs5ji3Hho","https://i.ytimg.com/vi/-pcs5ji3Hho/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBfKEYwDw==&rs=AOn4CLDj5n7sM02eytz3GqrMEM5Ez-0SbQ","0:54","Nov 19, 2024","бицепс","https://www.youtube.com/shorts/-pcs5ji3Hho","shorts"
"БИЦЕПС С ГАНТЕЛЯМИ","БИЦЕПС С ГАНТЕЛЯМИ","https://www.youtube.com/watch?v=c1dad8F7Dxw","c1dad8F7Dxw","https://i.ytimg.com/vi/c1dad8F7Dxw/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBXKEkwDw==&rs=AOn4CLAZAihuIebPWt7CfESVCL3CHCGwQw","0:53","Nov 6, 2024","бицепс","https://www.youtube.com/shorts/c1dad8F7Dxw","shorts"
"Бицепс с гантелями сидя","Бицепс с гантелями сидя","https://www.youtube.com/watch?v=hws0_ZEOnlo","hws0_ZEOnlo","https://i.ytimg.com/vi/hws0_ZEOnlo/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBbKE0wDw==&rs=AOn4CLDFQTS3Y1DtUmHEOG5U8kpfTp0pFg","0:58","Nov 6, 2024","бицепс","https://www.youtube.com/shorts/hws0_ZEOnlo","shorts"
"Бицепс с резинкой сидя","Бицепс с резинкой сидя","https://www.youtube.com/watch?v=bLhkUE4S3fY","bLhkUE4S3fY","https://i.ytimg.com/vi/bLhkUE4S3fY/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYciBRKDkwDw==&rs=AOn4CLBXojaLW5WFBE_EfX3tlr5NxQ66iQ","0:50","Nov 19, 2024","бицепс","https://www.youtube.com/shorts/bLhkUE4S3fY","shorts"
"гильотина #упражнения #грудные #здоровье #зож #фитнес #мотивация #бодибилдинг","гильотина","https://www.youtube.com/watch?v=VlDt6UgTRt4","VlDt6UgTRt4","https://i.ytimg.com/vi/VlDt6UgTRt4/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYYyBjKGMwDw==&rs=AOn4CLCPkMGB-hqFCLqOpdWce8IjAXdpyg","0:59","Apr 22, 2023","needs_review","https://www.youtube.com/shorts/VlDt6UgTRt4","shorts"
"Как тренировать пресс #качалка #фитнес #тренер #зож #пресс #бодибилдинг #антомия","Как тренировать пресс","https://www.youtube.com/watch?v=6XQrYt6EMKU","6XQrYt6EMKU","https://i.ytimg.com/vi/6XQrYt6EMKU/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYfyAmKCwwDw==&rs=AOn4CLDfDMQ6Z7MXsOYVAp8SrZThEK_uBg","0:10","Feb 2, 2024","пресс","https://www.youtube.com/shorts/6XQrYt6EMKU","shorts"
"Кардио или силовые? #КардиоVSСиловые #ЭффективностьПохудения #ФитнесМифы #ТренировкиДляПохудения","Кардио или силовые?","https://www.youtube.com/watch?v=i-I5KW24nuk","i-I5KW24nuk","https://i.ytimg.com/vi/i-I5KW24nuk/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBeKEIwDw==&rs=AOn4CLCGR36LzDaZmZVGIBuzzmQjuhJoTg","0:40","Aug 13, 2024","needs_review","https://www.youtube.com/shorts/i-I5KW24nuk","shorts"
"ЛУЧШЕЕ УПРАЖНЕНИЕ НАБИЦЕПС #бицепс #брахиалис #фитнес #тренер #упражнения","ЛУЧШЕЕ УПРАЖНЕНИЕ НАБИЦЕПС","https://www.youtube.com/watch?v=hkrDRb-62YM","hkrDRb-62YM","https://i.ytimg.com/vi/hkrDRb-62YM/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBfKEQwDw==&rs=AOn4CLAcaVErlUlmLiJTQvCZBkfI5q9NnA","1:00","Sep 2, 2024","бицепс","https://www.youtube.com/shorts/hkrDRb-62YM","shorts"
"Лучшие упражнения для больших грудных #тренер #фитнес #зож #качалка #бодибилдинг #здоровье #генетика","Лучшие упражнения для больших грудных","https://www.youtube.com/watch?v=MNFtx3IA74A","MNFtx3IA74A","https://i.ytimg.com/vi/MNFtx3IA74A/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYciBDKD4wDw==&rs=AOn4CLACVKm63V-h7XocUa_m8EflkdWyfA","0:40","Feb 21, 2024","грудь","https://www.youtube.com/shorts/MNFtx3IA74A","shorts"
"махи ""дирижёр"" #здоровье #упражнения #плечи","махи ""дирижёр""","https://www.youtube.com/watch?v=9mvGeB2j8EE","9mvGeB2j8EE","https://i.ytimg.com/vi/9mvGeB2j8EE/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLDSZnA3xWBESBM4KgSwq5P1ytfUlw","0:30","Apr 9, 2023","плечи","https://www.youtube.com/shorts/9mvGeB2j8EE","shorts"
"Молотковые сгибания на бицепс в кроссовере с канатной рукояткой #упражнения #бицепс","Молотковые сгибания на бицепс в кроссовере с канатной рукояткой","https://www.youtube.com/watch?v=1vpi4r-P6qo","1vpi4r-P6qo","https://i.ytimg.com/vi/1vpi4r-P6qo/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBaKE8wDw==&rs=AOn4CLBvgDcszy3tIiDL5XpzBjjWGJNcJA","0:57","Nov 14, 2024","бицепс","https://www.youtube.com/shorts/1vpi4r-P6qo","shorts"
"Подъём на бицепс широким хватом","Подъём на бицепс широким хватом","https://www.youtube.com/watch?v=KTnHC38gNmA","KTnHC38gNmA","https://i.ytimg.com/vi/KTnHC38gNmA/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBbKE8wDw==&rs=AOn4CLBhCpC75siaNocqxB_aneklXc7lKA","0:55","Nov 6, 2024","бицепс","https://www.youtube.com/shorts/KTnHC38gNmA","shorts"
