title,normalized_title,youtube_url,thumbnail_url,category
"5 минутная зарядка, сохрани, чтобы не потерять. #зарядка5мин #энергиявтеле #tagirfruit","5 минутная зарядка, сохрани, чтобы не потерять.","https://www.youtube.com/watch?v=N5SPhiEDoR4","https://i.ytimg.com/vi/N5SPhiEDoR4/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBJKD4wDw==&rs=AOn4CLB0lBxchqLC6eXpS7Iqu9Q2syw2Wg","needs_review"
"Бицепс в кроссовере по 1 руке","Бицепс в кроссовере по 1 руке","https://www.youtube.com/watch?v=9sakXY-0srI","https://i.ytimg.com/vi/9sakXY-0srI/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBSKDowDw==&rs=AOn4CLDH1dGAGMq6k18ZMmSUkOxr7Mhlsw","бицепс"
"Бицепс в скамье Скотта","Бицепс в скамье Скотта","https://www.youtube.com/watch?v=-pcs5ji3Hho","https://i.ytimg.com/vi/-pcs5ji3Hho/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBfKEYwDw==&rs=AOn4CLDj5n7sM02eytz3GqrMEM5Ez-0SbQ","бицепс"
"БИЦЕПС С ГАНТЕЛЯМИ","БИЦЕПС С ГАНТЕЛЯМИ","https://www.youtube.com/watch?v=c1dad8F7Dxw","https://i.ytimg.com/vi/c1dad8F7Dxw/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBXKEkwDw==&rs=AOn4CLAZAihuIebPWt7CfESVCL3CHCGwQw","бицепс"
"Бицепс с гантелями сидя","Бицепс с гантелями сидя","https://www.youtube.com/watch?v=hws0_ZEOnlo","https://i.ytimg.com/vi/hws0_ZEOnlo/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBbKE0wDw==&rs=AOn4CLDFQTS3Y1DtUmHEOG5U8kpfTp0pFg","бицепс"
"Бицепс с резинкой сидя","Бицепс с резинкой сидя","https://www.youtube.com/watch?v=bLhkUE4S3fY","https://i.ytimg.com/vi/bLhkUE4S3fY/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYciBRKDkwDw==&rs=AOn4CLBXojaLW5WFBE_EfX3tlr5NxQ66iQ","бицепс"
"гильотина #упражнения #грудные #здоровье #зож #фитнес #мотивация #бодибилдинг","гильотина","https://www.youtube.com/watch?v=VlDt6UgTRt4","https://i.ytimg.com/vi/VlDt6UgTRt4/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYYyBjKGMwDw==&rs=AOn4CLCPkMGB-hqFCLqOpdWce8IjAXdpyg","needs_review"
"Как тренировать пресс #качалка #фитнес #тренер #зож #пресс #бодибилдинг #антомия","Как тренировать пресс","https://www.youtube.com/watch?v=6XQrYt6EMKU","https://i.ytimg.com/vi/6XQrYt6EMKU/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYfyAmKCwwDw==&rs=AOn4CLDfDMQ6Z7MXsOYVAp8SrZThEK_uBg","пресс"
"Кардио или силовые? #КардиоVSСиловые #ЭффективностьПохудения #ФитнесМифы #ТренировкиДляПохудения","Кардио или силовые?","https://www.youtube.com/watch?v=i-I5KW24nuk","https://i.ytimg.com/vi/i-I5KW24nuk/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBeKEIwDw==&rs=AOn4CLCGR36LzDaZmZVGIBuzzmQjuhJoTg","needs_review"
"ЛУЧШЕЕ УПРАЖНЕНИЕ НАБИЦЕПС #бицепс #брахиалис #фитнес #тренер #упражнения","ЛУЧШЕЕ УПРАЖНЕНИЕ НАБИЦЕПС","https://www.youtube.com/watch?v=hkrDRb-62YM","https://i.ytimg.com/vi/hkrDRb-62YM/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBfKEQwDw==&rs=AOn4CLAcaVErlUlmLiJTQvCZBkfI5q9NnA","бицепс"
"Лучшие упражнения для больших грудных #тренер #фитнес #зож #качалка #бодибилдинг #здоровье #генетика","Лучшие упражнения для больших грудных","https://www.youtube.com/watch?v=MNFtx3IA74A","https://i.ytimg.com/vi/MNFtx3IA74A/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYciBDKD4wDw==&rs=AOn4CLACVKm63V-h7XocUa_m8EflkdWyfA","грудь"
"махи ""дирижёр"" #здоровье #упражнения #плечи","махи ""дирижёр""","https://www.youtube.com/watch?v=9mvGeB2j8EE","https://i.ytimg.com/vi/9mvGeB2j8EE/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLDSZnA3xWBESBM4KgSwq5P1ytfUlw","плечи"
"Молотковые сгибания на бицепс в кроссовере с канатной рукояткой #упражнения #бицепс","Молотковые сгибания на бицепс в кроссовере с канатной рукояткой","https://www.youtube.com/watch?v=1vpi4r-P6qo","https://i.ytimg.com/vi/1vpi4r-P6qo/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBaKE8wDw==&rs=AOn4CLBvgDcszy3tIiDL5XpzBjjWGJNcJA","бицепс"
"Подъём на бицепс широким хватом","Подъём на бицепс широким хватом","https://www.youtube.com/watch?v=KTnHC38gNmA","https://i.ytimg.com/vi/KTnHC38gNmA/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBbKE8wDw==&rs=AOn4CLBhCpC75siaNocqxB_aneklXc7lKA","бицепс"
"упражнения на осанку #здоровье #зож #здоровоепитание #фитнес #мотивация #бодибилдинг","упражнения на осанку","https://www.youtube.com/watch?v=9pLcOouYnfs","https://i.ytimg.com/vi/9pLcOouYnfs/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYRSBWKHIwDw==&rs=AOn4CLAHRIdXH0IOz_dIDlT0lzLObfzL4w","needs_review"
"Упражнения на пресс #тренер #похудение #фитнес #упражнения #пресс","Упражнения на пресс","https://www.youtube.com/watch?v=Dh1nDYnYmqY","https://i.ytimg.com/vi/Dh1nDYnYmqY/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBfKFEwDw==&rs=AOn4CLBpRW7JGRcrHtlwzrWnzybgXapoSA","пресс"
"G - жим, а в описании еще также написано, как попасть ко мне на занятия.","G - жим, а в описании еще также написано, как попасть ко мне на занятия.","https://www.youtube.com/watch?v=XfoX-qrlNfU","https://i.ytimg.com/vi/XfoX-qrlNfU/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBfKFUwDw==&rs=AOn4CLCbHY4M4UBzRd0SK7SwSO80hunCUA","needs_review"
"G-жим","G-жим","https://www.youtube.com/watch?v=jnlX6uyWaeg","https://i.ytimg.com/vi/jnlX6uyWaeg/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYYSBlKFswDw==&rs=AOn4CLDnieDT7bv3ANQLGtGjxncWPnhctA","needs_review"
