confidence,score,match_type,youtube_title,inskill_exercise_name,youtube_url,video_id,thumbnail_url,duration,upload_date,category,muscle_group,movement_pattern,inskill_category
"strong","0.96","title_contains_exercise","#fitness #motivation #фитнес гильотина читай описание, там подарок🎁","Гильотина","https://www.youtube.com/watch?v=gEBSJqbLUcE","gEBSJqbLUcE","https://i.ytimg.com/vi/gEBSJqbLUcE/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBfKFswDw==&rs=AOn4CLCqsM2x3q9NOkwi4h5GdK4GMPof9g","0:54","Mar 24, 2023","needs_review","","",""
"review","0.74","token_similarity","Бицепс в скамье Скотта","Бицепс со штангой на скамье Скотта","https://www.youtube.com/watch?v=-pcs5ji3Hho","-pcs5ji3Hho","https://i.ytimg.com/vi/-pcs5ji3Hho/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBfKEYwDw==&rs=AOn4CLDj5n7sM02eytz3GqrMEM5Ez-0SbQ","0:54","Nov 19, 2024","бицепс","бицепс","elbow_flexion","strength_elbow_flexion"
"strong","0.9","exercise_contains_title","БИЦЕПС С ГАНТЕЛЯМИ","Подъем на бицепс с гантелями сидя","https://www.youtube.com/watch?v=c1dad8F7Dxw","c1dad8F7Dxw","https://i.ytimg.com/vi/c1dad8F7Dxw/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBXKEkwDw==&rs=AOn4CLAZAihuIebPWt7CfESVCL3CHCGwQw","0:53","Nov 6, 2024","бицепс","бицепс","elbow_flexion","strength_elbow_flexion"
"strong","0.9","exercise_contains_title","Бицепс с гантелями сидя","Подъем на бицепс с гантелями сидя","https://www.youtube.com/watch?v=hws0_ZEOnlo","hws0_ZEOnlo","https://i.ytimg.com/vi/hws0_ZEOnlo/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBbKE0wDw==&rs=AOn4CLDFQTS3Y1DtUmHEOG5U8kpfTp0pFg","0:58","Nov 6, 2024","бицепс","бицепс","elbow_flexion","strength_elbow_flexion"
"strong","0.9","exercise_contains_title","Бицепс с резинкой сидя","Подъем на бицепс с резинкой сидя","https://www.youtube.com/watch?v=bLhkUE4S3fY","bLhkUE4S3fY","https://i.ytimg.com/vi/bLhkUE4S3fY/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYciBRKDkwDw==&rs=AOn4CLBXojaLW5WFBE_EfX3tlr5NxQ66iQ","0:50","Nov 19, 2024","бицепс","бицепс","elbow_flexion","strength_elbow_flexion"
"strong","1","exact","гильотина #упражнения #грудные #здоровье #зож #фитнес #мотивация #бодибилдинг","Гильотина","https://www.youtube.com/watch?v=VlDt6UgTRt4","VlDt6UgTRt4","https://i.ytimg.com/vi/VlDt6UgTRt4/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYYyBjKGMwDw==&rs=AOn4CLCPkMGB-hqFCLqOpdWce8IjAXdpyg","0:59","Apr 22, 2023","needs_review","","",""
"strong","0.84","token_coverage","Молотковые сгибания на бицепс в кроссовере с канатной рукояткой #упражнения #бицепс","Бицепс с канатной рукояткой в кроссовере","https://www.youtube.com/watch?v=1vpi4r-P6qo","1vpi4r-P6qo","https://i.ytimg.com/vi/1vpi4r-P6qo/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBaKE8wDw==&rs=AOn4CLBvgDcszy3tIiDL5XpzBjjWGJNcJA","0:57","Nov 14, 2024","бицепс","бицепс","elbow_flexion","strength_elbow_flexion"
"strong","1","exact","Подъём на бицепс широким хватом","Подъем на бицепс широким хватом","https://www.youtube.com/watch?v=KTnHC38gNmA","KTnHC38gNmA","https://i.ytimg.com/vi/KTnHC38gNmA/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBbKE8wDw==&rs=AOn4CLBhCpC75siaNocqxB_aneklXc7lKA","0:55","Nov 6, 2024","бицепс","бицепс","elbow_flexion","strength_elbow_flexion"
"review","0.74","token_similarity","Упражнения на пресс #тренер #похудение #фитнес #упражнения #пресс","Пресс на босу","https://www.youtube.com/watch?v=Dh1nDYnYmqY","Dh1nDYnYmqY","https://i.ytimg.com/vi/Dh1nDYnYmqY/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBfKFEwDw==&rs=AOn4CLBpRW7JGRcrHtlwzrWnzybgXapoSA","0:32","Sep 1, 2024","пресс","кор","trunk_flexion","strength_trunk_flexion"
"strong","1","exact","G-жим","G-жим","https://www.youtube.com/watch?v=jnlX6uyWaeg","jnlX6uyWaeg","https://i.ytimg.com/vi/jnlX6uyWaeg/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYYSBlKFswDw==&rs=AOn4CLDnieDT7bv3ANQLGtGjxncWPnhctA","1:00","Nov 24, 2024","needs_review","","",""
